gens,-r,-c,-e,-rt,-ct,-et,-rb,-ra,-cb,-ca,-eb,-ea,-rtb,-rta,-ctb,-cta,-etb,-eta
10,40.2,4.6,1.0,9.2,8.1,1.7,7.7,9.5,72.9,3.7,1.1,2.3,9.6,9.5,7.0,7.0,2.6,2.4
100,306.4,45.8,10.1,91.2,80.7,17.1,76.0,93.7,721.8,36.9,11.0,22.8,94.9,94.9,68.8,68.7,24.3,24.2
1000,3063.1,457.8,110.1,918.4,810.8,171.7,765.3,942.4,7271.9,370.7,112.1,230.5,955.3,955.3,691.5,691.5,243.0,242.9
10000,,4598.1,1142.3,9230.4,8137.3,1747.6,7710.1,9479.8,,3733.2,1146.7,2360.1,9667.7,9623.1,6954.2,6954.8,2461.3,2462.5
