res,-r,-c,-e,-rt,-ct,-et,-rb,-ra,-cb,-ca,-eb,-ea,-rtb,-rta,-ctb,-cta,-etb,-eta
7680,4320,23193.8,2003.1,1832.1,9023.8,6643.3,2782.7,8996.6,11830.9,,5399.9,1711.1,5454.5,7663.0,7659.3,8589.0,8600.2,5499.3,5496.8
15360,8640,,6025.4,7532.4,,,11317.3,,,,21617.6,6960.3,23799.4,,,,,23862.7,23863.4
30720,17280,,,,,,,,,,,,,,,,,,
