gens,-r,-c,-e,-rt,-ct,-et,-rb,-ra,-cb,-ca,-eb,-ea,-rtb,-rta,-ctb,-cta,-etb,-eta
100000,,,11528.2,,,17584.9,,,,,11568.6,23905.2,,,,,24934.7,25138.5
1000000,,,,,,,,,,,,,,,,,,
